epoch,train_loss,val_loss,val_dice
1,1.7735426046631553,1.5513762560757725,40.992634892463684
2,1.5448933243751526,1.7471906596964055,48.41155022382736
3,1.4026677933606235,1.8133622949773616,46.6638371348381
4,1.3639194586060264,2.228172248060053,49.129114747047424
5,1.264325206929987,1.8524013432589443,38.572514057159424
6,1.2163348360495134,2.142935438589616,30.86830139160157
7,1.20696729963476,1.8639916940168901,53.21903288364415
8,1.168314435265281,2.183875322341919,51.35120749473572
9,1.1089710051363164,2.0713957331397315,49.9265030026436
10,1.0674533627249978,2.043485002084212,48.27123522758484
11,1.0387718000195243,2.008103143085133,44.938853979110746
12,1.1116341704672033,2.1571801900863647,42.304102182388306
13,1.0421934073621577,1.970175949009982,38.024866580963135
14,1.012697609988126,1.8614849719134243,52.67981290817261
15,1.0364757722074336,1.8568524013866077,57.87157863378527
16,1.050249687649987,1.5982442552393132,65.37266671657562
17,1.0092165741053494,1.6332402554425327,75.28334736824037
18,1.0000529885292053,1.618296904997392,76.03305578231812
19,0.9674619382077997,1.582413380796259,71.63580656051637
20,0.9625248773531481,1.5900647423484109,71.61727845668793
21,0.9390818991444327,1.6246302886442705,66.88024222850798
22,0.9363582080060785,1.6095066504044966,65.621172785759
23,0.9513832195238634,1.6378363479267468,65.62815725803374
24,0.9727241153066809,1.5779893073168667,67.69067943096161
25,0.9820788177576932,1.5309509580785579,68.8454681634903
26,0.9447136114944111,1.544887824492021,66.6333532333374
27,0.9337064840576865,1.5147743875330144,67.68129527568817
28,0.9362532198429108,1.51072481545535,66.03498458862305
29,0.9298704537478361,1.518249891021035,67.62048006057739
30,0.9455188648267225,1.5194769447500056,68.13539803028105
